MJD   Ra_deg   Dec_deg   Unc_deg   log10(Ereco)
57190.612117   79.07     4.89     1.61     2.89
57192.243613   76.66     5.95     0.38     3.01
57199.009955   77.80     8.14     2.48     2.91
57199.521380   78.53     5.53     0.58     3.07
57201.053607   75.37     7.73     0.63     2.87
57202.064437   74.87     6.63     0.59     3.05
57202.083865   79.80     4.25     0.55     2.97
57202.707455   78.33     4.84     0.25     2.98
57203.701584   77.87     5.67     0.94     3.02
57205.362510   75.51     7.42     1.02     2.97
57206.833333   76.85     5.28     0.63     2.80
57207.237007   79.36     7.40     3.53     2.82
57215.031561   75.41     5.78     1.49     3.34
57216.425936   77.88     4.45     0.48     3.10
57220.577206   78.10     6.21     1.65     3.26
57221.773945   75.43     5.42     0.64     3.43
57223.296436   79.52     6.46     0.29     3.06
57225.396574   76.79     6.26     0.82     2.92
57225.409236   75.68     4.95     0.67     2.96
57225.528469   76.03     3.37     0.61     3.34
57228.209146   76.85     3.02     0.70     2.92
57229.484078   77.54     8.05     1.93     2.68
57229.735570   80.04     6.67     0.68     2.84
57230.330020   76.45     4.90     1.14     2.66
57232.559993   75.15     5.63     1.12     2.95
57236.013093   77.56     6.31     0.40     3.60
57236.431939   77.21     8.48     1.96     2.92
57237.195514   76.26     3.14     0.43     2.87
57238.521280   79.08     4.04     0.48     2.88
57239.573365   78.00     6.00     1.28     2.83
57243.684468   80.17     6.38     0.60     3.05
57248.542566   78.85     5.82     0.66     3.12
57253.364479   75.40     4.46     0.41     3.29
57253.712467   75.80     8.04     1.01     3.09
57254.598366   79.36     5.89     0.95     3.17
57254.940340   78.74     6.61     1.49     2.84
57256.048238   79.20     7.42     0.88     2.85
57256.902149   76.39     5.79     1.14     2.88
57259.936173   76.46     3.82     0.79     3.08
57261.093295   77.42     3.92     0.61     2.94
57261.679873   79.22     7.71     0.99     2.32
57263.039080   75.66     6.18     1.75     3.39
57263.282782   76.52     3.18     1.27     2.88
57265.490961   78.67     3.91     0.93     2.95
57265.587802   78.73     5.92     1.48     2.71
57266.993976   78.87     4.81     0.72     3.27
57267.407470   78.35     5.63     1.85     2.61
57267.598444   74.53     5.84     1.67     2.92
57268.715580   78.53     4.36     1.37     3.06
57269.088600   77.07     7.85     1.57     2.70
57270.779792   78.55     6.91     1.19     3.12
57272.467981   79.07     4.31     1.59     2.86
57278.378481   76.54     6.96     0.93     2.97
57278.993222   76.87     5.65     1.89     2.93
57279.584447   76.93     5.38     0.70     2.83
57281.497344   76.61     8.55     1.49     2.81
57281.665488   78.94     4.12     1.22     2.52
57286.430363   75.85     6.74     0.87     2.81
57289.658690   78.83     5.16     2.22     2.95
57290.720190   74.40     5.67     0.89     2.87
57292.424479   79.09     7.17     0.82     3.12
57293.343207   74.97     4.20     0.97     2.70
57296.987641   79.29     6.22     1.37     2.95
57298.730444   77.03     5.08     0.56     3.20
57301.634208   79.65     6.84     1.31     3.08
57305.237359   75.02     5.82     0.44     3.15
57305.451023   79.52     4.45     0.67     2.71
57307.093350   75.56     7.41     0.71     3.43
57307.244662   77.93     4.18     1.23     3.12
57309.227863   78.57     5.25     1.20     3.31
57309.772872   76.16     8.10     3.71     3.06
57310.273379   77.48     5.97     2.13     2.35
57311.072747   77.06     5.12     1.15     2.55
57316.573930   78.69     5.03     0.60     3.13
57318.615930   77.55     2.74     0.17     4.22
57319.585898   77.04     4.35     1.58     2.75
57320.199405   78.10     3.21     1.78     3.01
57321.106621   76.56     8.36     1.36     2.86
57321.654485   77.87     4.10     0.50     2.93
57323.674220   78.54     6.64     0.94     3.06
57324.774254   75.74     5.33     0.95     2.97
57326.498430   79.08     7.24     0.81     3.04
57326.515120   74.96     3.91     2.78     2.94
57326.809006   78.16     6.34     1.28     3.10
57328.174654   76.80     7.61     1.05     2.94
57328.190517   77.13     7.75     0.42     2.73
57329.641349   77.90     8.43     1.06     2.96
57331.027031   78.35     8.42     0.27     3.08
57331.350433   77.68     7.97     0.94     2.83
57331.603953   78.66     4.30     1.26     2.85
57333.766118   74.91     6.42     1.63     3.12
57334.961241   76.61     4.03     0.60     3.19
57335.330642   78.04     3.65     0.88     3.24
57336.434528   77.47     5.99     0.72     2.78
57337.068395   77.91     7.26     0.95     3.13
57338.088837   76.20     4.26     0.67     3.14
57338.782238   78.75     6.84     0.48     2.90
57339.521865   75.93     7.03     1.29     3.02
57340.079166   76.89     5.69     0.33     2.89
57341.076534   78.52     8.17     2.06     2.62
57342.905313   76.70     4.76     0.51     2.95
57343.723576   77.39     4.47     1.16     2.93
57343.844118   77.76     3.46     0.76     2.97
57344.228454   74.65     6.87     0.32     3.36
57344.366925   75.29     3.86     0.43     3.00
57344.835812   75.57     5.15     1.27     2.80
57345.463005   78.52     8.26     1.56     3.04
57345.873387   75.66     3.68     0.61     2.87
57346.124359   75.85     3.63     0.49     2.99
57348.153800   74.72     5.22     1.69     3.33
57349.139902   75.40     7.90     0.53     3.22
57350.368323   79.08     3.29     0.26     3.42
57352.454015   76.33     6.82     0.88     2.87
57354.063117   76.60     6.30     1.14     2.41
57354.532253   76.47     7.34     0.65     3.16
57354.919945   78.54     3.38     0.76     3.17
57355.086173   78.42     7.13     0.77     2.83
57356.449052   78.26     7.85     1.14     2.91
57361.797926   79.69     7.34     0.48     2.72
57361.824692   77.63     5.40     0.76     2.87
57362.164209   79.68     5.45     4.15     3.00
57363.312544   79.80     4.83     0.96     3.22
57363.933620   75.57     3.34     0.60     2.80
57364.315316   75.66     4.42     0.53     2.90
57365.692087   78.37     7.74     1.48     3.05
57366.208083   79.95     4.95     0.82     2.84
57367.005758   74.47     5.17     0.49     3.31
57367.337509   79.30     6.23     0.74     3.15
57369.631881   77.71     6.10     1.18     2.68
57372.608682   75.74     5.43     0.56     3.12
57380.874954   78.03     7.65     1.55     2.94
57382.172104   78.94     6.06     0.94     2.91
57382.284360   77.63     6.16     0.31     2.95
57382.443958   76.22     3.44     1.03     2.69
57382.793244   78.96     4.36     0.39     2.94
57383.632941   75.97     3.65     0.99     2.92
57385.932315   75.43     6.54     1.11     3.18
57386.085940   77.92     7.31     0.54     3.01
57386.949338   78.76     3.66     0.77     3.13
57388.294719   77.61     4.49     0.56     2.79
57391.443843   77.86     5.05     0.93     4.56
57391.786114   77.07     3.01     1.48     2.79
57395.419778   77.29     7.59     0.72     3.01
57397.480811   79.39     6.71     3.96     3.17
57399.593836   76.39     7.90     1.01     2.82
57400.207204   75.24     5.44     1.23     2.83
57403.212637   77.34     8.46     0.91     3.08
57404.184067   77.60     7.85     1.33     2.95
57406.067957   78.99     4.64     2.03     2.74
57410.995181   78.23     4.76     1.28     2.79
57411.163899   76.53     2.84     2.86     2.67
57413.216641   75.79     6.67     1.05     2.23
57416.496295   76.30     3.84     1.77     2.78
57417.360713   76.84     3.39     0.73     2.85
57420.790552   75.78     5.50     0.51     2.94
57421.714070   77.82     4.68     0.57     2.75
57423.794768   77.42     3.90     0.52     2.98
57424.592523   79.44     3.91     1.05     3.02
57424.764809   78.54     5.04     0.69     2.92
57426.109898   74.81     6.29     0.51     2.86
57429.012719   75.73     4.21     2.53     2.78
57429.047593   75.34     3.48     0.38     3.08
57430.492133   76.95     4.35     1.04     2.87
57432.201867   77.73     6.92     0.57     3.31
57433.167438   77.93     4.21     0.66     2.88
57434.003692   75.45     4.04     1.32     3.05
57434.885572   75.40     7.78     0.49     2.95
57435.139088   77.74     6.55     1.43     2.69
57436.331669   78.92     5.07     0.94     2.78
57437.248030   79.83     5.88     0.93     3.13
57437.732366   74.53     6.02     1.78     2.88
57439.131954   77.69     7.57     1.02     3.28
57442.342951   79.71     6.11     1.27     2.90
57446.665233   77.75     6.51     0.34     2.86
57446.778933   78.45     5.82     1.39     3.06
57447.559471   76.15     4.93     0.77     3.20
57451.275796   76.88     6.39     1.27     3.00
57452.355045   79.30     7.97     0.75     2.84
57452.570797   76.23     7.11     0.51     3.29
57453.990077   76.75     7.95     0.32     2.68
57456.657307   79.58     6.97     1.01     2.84
57467.502652   76.92     6.83     1.20     2.89
57470.341315   75.44     4.14     2.36     2.88
57472.408151   78.91     4.88     0.59     3.16
57472.988330   79.58     4.11     0.30     2.98
57473.582307   77.65     6.51     0.68     3.01
57476.140994   76.96     7.61     0.56     3.04
57479.182372   76.18     7.08     0.86     2.87
57481.940345   79.69     4.87     0.43     3.10
57482.912403   76.52     4.08     0.83     2.06
57486.184258   78.93     6.08     0.71     2.80
57487.524564   80.09     6.21     0.98     2.85
57490.585900   75.51     7.29     1.03     2.93
57492.926147   77.90     3.73     0.76     3.09
57492.992751   78.68     8.34     1.13     2.84
57493.305027   76.56     3.01     1.16     3.36
57496.913184   77.87     3.09     0.33     3.06
57498.741311   79.25     7.59     1.30     2.87
57499.660305   76.57     5.13     0.40     3.58
57500.278520   78.83     4.22     0.80     3.04
57502.211894   78.17     5.98     0.72     3.27
57502.401083   74.95     6.50     0.51     3.22
57507.767423   78.89     6.22     0.48     3.11
57509.815084   74.75     5.44     0.32     2.96
57510.523820   75.06     6.29     1.36     2.85
57510.648820   77.31     2.99     0.50     2.85
57510.719265   79.24     5.37     0.91     2.86
57514.507067   76.66     6.99     1.18     2.92
57516.207833   74.72     5.99     0.81     3.17
57518.214852   76.38     7.27     0.88     2.76
57518.713171   77.63     4.18     0.99     3.24
57518.872735   78.92     5.28     2.54     2.79
57519.007566   78.56     7.20     0.54     3.28
57522.022372   75.92     3.34     0.77     3.25
57523.060504   80.22     5.56     0.40     2.90
57523.342651   76.77     6.85     0.46     2.94
57523.470760   77.15     5.02     0.27     3.07
57524.695113   75.69     6.17     1.25     2.71
57524.728163   76.58     8.02     0.48     3.17
57524.963001   79.98     6.79     0.96     2.86
57526.425502   76.97     4.24     0.55     3.58
57526.997653   75.85     3.98     0.61     2.82
57527.496131   78.82     6.35     0.55     2.78
57529.868168   77.06     4.72     0.35     2.94
57532.330810   77.60     5.12     1.18     2.18
57535.810062   77.05     4.12     0.73     2.85
57538.913676   77.42     4.73     1.68     2.82
57540.508743   75.05     5.34     0.58     2.88
57543.915867   77.85     8.09     1.33     2.81
57544.521571   80.29     5.88     0.78     2.82
57546.198290   77.00     6.74     1.77     2.91
57546.852748   79.53     6.16     6.95     3.09
57549.659420   77.75     4.43     0.73     3.16
57555.898383   76.65     5.29     1.46     2.86
57558.393909   79.63     5.50     0.84     2.72
57566.003951   76.11     3.15     2.14     3.14
57566.399797   77.09     6.20     0.64     2.75
57566.467747   75.42     6.79     1.12     2.97
57566.879277   77.13     2.99     0.98     2.62
57568.034054   76.55     7.76     0.49     2.97
57570.047703   76.86     8.08     0.66     3.53
57570.398194   76.72     5.56     0.70     3.02
57570.595008   78.69     7.54     0.51     3.13
57572.178136   75.08     6.18     0.61     3.46
57573.910428   79.38     6.08     1.09     2.75
57576.336654   79.40     3.56     1.11     2.96
57576.387478   78.70     5.99     1.43     2.98
57576.500785   79.02     7.73     2.53     3.01
57577.613380   76.83     4.28     1.66     3.08
57582.366260   78.86     5.89     0.48     3.01
57584.205837   78.77     5.01     0.69     3.15
57584.211930   77.04     7.95     0.99     2.78
57585.919577   76.62     6.85     1.06     1.96
57586.895900   78.42     6.86     0.49     2.86
57587.590526   78.20     7.30     1.54     2.74
57590.860224   77.98     5.24     0.52     2.86
57591.108215   77.49     5.81     0.97     2.76
57591.403180   75.17     7.03     0.42     2.98
57594.246109   77.40     4.70     0.37     3.02
57595.585740   79.05     6.06     3.60     2.57
57598.040793   79.64     5.92     0.86     3.24
57598.825987   75.62     3.77     2.47     2.87
57599.468043   75.52     7.95     2.11     2.84
57599.903865   79.25     4.16     1.88     2.66
57600.334748   78.63     4.34     0.54     3.13
57600.417191   75.11     7.44     0.92     3.08
57603.666327   75.68     3.77     1.12     2.93
57604.686199   77.69     5.62     0.72     2.85
57606.364467   76.28     4.81     0.88     2.95
57606.762520   77.12     7.62     0.92     3.29
57607.021953   79.70     6.55     1.02     3.03
57609.376824   77.07     5.05     0.57     2.83
57610.736294   78.26     5.09     0.54     2.87
57615.205237   76.73     3.14     1.43     2.85
57616.949625   75.58     6.01     0.29     3.18
57619.027605   78.28     4.74     0.53     3.12
57619.730004   78.04     6.37     0.97     3.17
57619.847458   77.72     3.43     0.51     3.10
57622.482719   76.69     6.15     2.70     2.74
57628.077153   77.61     3.72     1.19     2.65
57629.875237   78.45     6.44     0.93     2.90
57630.243533   78.51     3.70     3.32     2.84
57633.092053   77.28     5.79     1.30     2.88
57635.642056   78.32     4.50     0.53     3.04
57639.127675   74.88     4.75     2.28     3.09
57639.718167   78.13     5.92     0.33     3.13
57640.385432   77.53     2.77     0.81     2.94
57643.741360   77.66     7.76     0.25     3.51
57644.761914   76.52     7.38     1.28     2.72
57650.945005   75.02     5.31     0.44     3.06
57651.251210   76.52     7.08     0.63     2.94
57651.746670   77.51     4.65     0.57     3.03
57653.268539   77.05     3.66     0.98     2.98
57654.956972   79.23     3.54     0.88     3.04
57656.721999   75.55     6.52     1.80     3.03
57658.620943   77.13     2.73     0.64     2.88
57659.231511   77.94     4.02     1.08     3.11
57661.848113   77.25     6.76     0.52     3.05
57666.332207   79.33     4.52     0.32     2.90
57666.778213   75.34     5.51     1.55     3.17
57667.051670   77.92     4.30     0.37     2.99
57668.294377   76.14     6.58     1.50     1.90
57671.136453   77.10     4.99     0.99     3.10
57671.745600   79.25     6.19     0.30     3.11
57673.313429   76.67     4.27     0.41     3.37
57673.711200   74.46     6.42     0.87     2.85
57675.968744   76.69     6.68     0.79     2.79
57677.437929   76.70     7.62     0.32     3.23
57678.609696   76.72     5.83     0.39     3.12
57680.951182   77.22     4.57     1.24     3.05
57681.963062   78.80     7.01     0.59     2.83
57683.910712   78.37     4.59     0.93     2.79
57684.063785   74.63     5.05     8.03     2.49
57684.674582   75.43     4.69     0.71     3.26
57687.278392   76.09     3.68     0.26     3.03
57692.054869   76.52     5.56     0.50     3.01
57692.247528   75.54     6.23     0.91     3.22
57692.991891   74.56     4.92     0.52     3.49
57696.341922   78.67     3.21     1.06     4.23
57697.645544   78.93     4.00     0.79     3.25
57698.657898   76.41     6.35     1.87     3.35
57702.415124   75.18     7.25     0.51     2.96
57702.702063   78.60     8.35     2.51     2.78
57706.449962   77.45     6.44     0.46     3.00
57706.984418   78.35     8.19     1.53     2.77
57707.394632   76.65     5.21     1.04     3.13
57708.096314   79.82     5.06     0.57     2.80
57708.420899   76.17     7.09     1.95     3.12
57710.346447   75.94     7.45     1.46     3.09
57711.424840   77.99     3.16     0.44     3.04
57712.070735   78.25     4.77     0.90     2.89
57714.018763   78.75     5.28     1.37     3.00
57714.082329   80.23     6.15     0.31     3.26
57715.052635   78.71     6.03     2.43     2.22
57715.589083   77.73     8.10     0.42     2.78
57716.589502   79.30     3.61     0.46     2.99
57717.520797   76.29     6.32     0.85     2.67
57718.262213   78.72     3.60     0.78     2.88
57718.678342   79.87     6.31     0.38     2.76
57720.251122   76.42     7.87     0.42     2.93
57726.752745   76.70     4.81     1.16     2.73
57727.285337   74.78     6.63     0.64     2.78
57727.296059   75.71     5.83     1.71     2.93
57728.609205   79.14     6.72     1.26     2.73
57730.670842   76.12     3.66     0.72     3.01
57732.892239   75.95     3.87     1.33     2.71
57733.690391   77.02     3.35     0.75     2.83
57734.265168   75.72     6.07     0.78     2.89
57734.425288   78.99     5.58     1.57     2.81
57734.438513   75.42     6.68     1.04     3.13
57734.753857   76.14     6.29     1.58     3.33
57735.278163   77.96     3.55     1.45     2.67
57735.317650   78.47     5.88     2.15     2.97
57735.368437   77.30     5.73     0.46     3.02
57735.369224   75.12     3.91     0.38     2.97
57735.477304   76.00     3.77     0.68     2.91
57735.703163   76.07     6.47     0.80     3.08
57737.596496   77.61     4.19     2.36     2.38
57738.204864   78.98     3.34     0.54     3.33
57739.573996   76.44     6.07     0.98     2.84
57740.124225   75.54     6.05     1.10     2.73
57740.724705   79.18     3.76     0.58     2.76
57741.525601   76.85     6.56     0.28     2.91
57743.035553   79.38     6.88     0.69     3.16
57743.317236   79.41     7.04     2.14     2.70
57745.000037   76.67     7.33     0.80     3.09
57746.502245   79.63     6.10     1.69     3.17
57747.268989   78.51     4.43     0.44     2.97
57750.979227   75.72     5.50     0.63     2.75
57752.591659   77.42     6.71     1.07     3.16
57753.324640   77.55     5.44     0.40     3.24
57757.246798   79.11     6.69     1.14     3.29
57758.110471   76.22     3.41     1.38     2.82
57758.872643   75.59     6.46     0.82     3.24
57759.436996   78.32     4.32     0.42     3.11
57759.775376   77.11     5.30     2.79     2.42
57762.827194   77.32     4.52     0.50     3.02
57763.176770   76.82     7.80     1.31     3.21
57765.841390   78.16     8.20     0.46     2.93
57766.313092   78.26     7.95     0.38     3.23
57768.557007   75.86     6.49     0.29     3.09
57769.450631   77.19     4.20     1.42     2.52
57769.535945   76.66     4.56     0.67     2.98
57769.544966   75.27     5.56     0.67     3.14
57770.313783   80.19     5.17     0.82     3.09
57771.919718   76.73     3.06     0.42     2.92
57771.983302   78.77     5.21     2.18     2.98
57774.993543   78.95     3.52     0.86     2.91
57777.550414   79.69     6.94     0.60     3.30
57777.605292   77.20     7.01     0.39     3.07
57780.223787   79.90     6.16     0.51     3.13
57780.321464   75.86     3.47     0.62     3.25
57784.375427   78.38     3.06     0.67     2.89
57786.882238   75.52     7.83     0.65     2.98
57787.711134   76.72     5.27     5.81     2.64
57789.801910   78.62     5.56     0.62     2.81
57791.586817   76.30     8.01     0.99     3.19
57791.659347   76.19     7.09     1.50     2.75
57792.263390   79.12     3.85     0.55     2.98
57792.947905   75.15     7.42     1.91     2.75
57794.102913   77.29     6.01     0.31     2.85
57795.074569   80.24     6.03     1.87     2.78
57795.084033   75.89     5.96     1.05     2.85
57795.202682   78.15     7.48     0.48     2.89
57799.476449   79.30     6.69     1.40     2.82
57803.571062   77.39     7.05     0.56     3.16
57805.126081   75.12     6.56     1.95     3.02
57805.994227   74.71     6.16     0.93     2.63
57806.850985   77.81     7.11     0.32     3.08
57811.116451   78.40     5.89     0.35     3.62
57811.492969   78.82     7.01     1.50     2.73
57811.720457   75.04     5.36     0.67     3.00
57811.783115   78.77     8.32     0.61     3.05
57816.870671   79.26     6.76     0.64     3.11
57819.002870   78.45     5.20     1.30     2.76
57819.399338   76.69     7.12     0.93     2.81
57820.475625   75.88     4.96     0.51     2.74
57822.325646   77.72     3.36     0.25     3.25
57823.909065   74.70     6.59     0.50     3.00
57831.193273   76.90     7.60     0.35     3.35
57837.840173   77.06     4.39     0.92     2.66
57839.939116   76.03     6.19     0.67     2.97
57840.413450   76.60     8.19     0.62     3.06
57841.652838   76.15     3.18     0.55     3.46
57843.710999   78.04     6.28     0.57     3.14
57844.062478   78.60     7.32     0.94     2.87
57846.237632   77.34     6.17     0.62     3.14
57846.509590   76.20     4.44     0.67     2.98
57847.249346   75.72     4.25     0.57     3.15
57849.850649   77.49     8.09     1.52     2.87
57852.050696   78.24     3.83     0.55     2.94
57852.455072   78.65     5.96     0.96     2.89
57853.877066   76.64     5.38     0.66     3.34
57854.212329   74.65     6.53     1.08     2.97
57855.161282   79.17     4.80     0.51     3.01
57855.229251   75.93     5.75     1.29     2.77
57857.346695   76.64     2.88     0.49     3.03
57866.435501   76.21     7.56     1.06     3.65
57866.890326   75.33     6.27     0.67     3.23
57870.235068   79.09     6.98     1.44     2.84
57874.508439   75.94     4.04     0.26     3.45
57876.501721   79.16     6.22     1.20     2.91
57879.741382   77.01     4.60     0.69     2.92
57879.988687   78.00     3.61     0.80     2.97
57880.196669   75.39     5.67     1.22     3.20
57883.757977   77.58     3.14     0.52     2.89
57884.905179   78.17     6.62     0.32     2.67
57885.384273   75.12     6.10     0.35     2.91
57885.792191   76.91     3.34     0.93     2.79
57886.500326   77.55     7.34     1.15     2.91
57887.671731   77.30     7.82     0.41     3.03
57888.485028   77.93     8.13     0.38     3.14
57889.216387   78.30     6.41     0.84     3.05
57890.950480   75.44     4.64     1.70     2.60
57891.692793   75.22     7.69     0.71     2.82
57893.994518   77.13     4.59     0.87     3.07
57894.281083   77.31     7.78     0.92     2.87
57894.753587   78.71     3.98     0.70     2.92
57896.621193   76.70     8.45     0.30     3.07
57897.579462   74.58     4.94     0.48     3.16
57898.290364   77.48     7.06     0.40     3.04
57901.617237   78.27     4.72     0.63     2.98
57903.759999   77.12     7.56     0.78     3.12
57905.442232   75.82     3.74     0.73     2.83
57906.147488   77.59     8.41     2.45     2.75
57908.955562   79.31     5.18     0.90     2.96
57911.419520   77.10     8.43     1.91     2.90
57913.348015   77.48     8.23     0.63     2.65
57914.096904   76.70     6.30     1.68     2.85
57915.327141   77.09     8.46     2.26     2.86
57919.174210   75.03     6.80     0.84     3.22
57919.752107   78.18     6.83     1.03     2.57
57926.057813   77.78     8.39     3.24     2.87
57926.487024   77.96     7.14     1.28     2.62
57927.498977   77.89     7.06     1.02     2.79
57927.991698   78.18     5.94     0.42     3.02
57928.339974   76.04     4.62     0.52     2.68
57928.707132   79.04     6.39     0.73     2.43
57929.886783   79.69     6.53     0.54     2.80
57932.675180   78.03     6.24     0.59     2.98
57933.919577   75.03     3.95     1.15     3.09
57935.064706   77.45     8.34     2.57     2.84
57935.142474   75.10     7.27     2.05     2.72
57935.983400   76.94     5.12     0.58     3.02
57937.376960   77.85     7.60     0.97     2.79
57937.710717   77.11     3.60     1.26     2.79
57938.075172   76.19     7.19     1.31     2.98
57939.247644   78.73     4.53     1.98     2.91
57941.868422   76.07     5.25     2.62     2.53
57943.206149   77.65     8.38     1.33     2.96
57943.295074   78.57     3.42     1.01     3.11
57943.629262   75.98     5.15     0.52     2.84
57944.354831   76.62     8.35     2.36     2.56
57944.630916   75.24     4.62     0.50     2.93
57945.671005   78.34     7.64     2.79     2.84
57946.781995   78.34     6.21     0.62     3.25
57947.055682   80.13     5.74     0.34     3.22
57947.736692   77.84     8.24     0.78     2.79
57949.235659   78.06     8.08     0.37     3.08
57949.966616   76.39     4.88     0.94     3.03
57950.876611   76.31     2.98     0.74     2.80
57955.036184   79.90     6.49     1.74     2.77
57959.057564   78.01     4.72     1.38     2.71
57962.665770   79.29     5.91     1.16     3.11
57963.006134   79.38     7.84     1.09     3.06
57964.647521   78.90     3.99     1.39     2.89
57968.121000   79.81     6.72     2.49     2.52
57968.591718   75.18     6.81     1.87     3.02
57971.563589   74.48     5.71     0.45     3.05
57972.031610   75.24     4.71     0.58     3.02
57973.027420   80.21     6.32     0.46     3.06
57973.501000   76.87     6.16     1.53     3.09
57975.744505   78.90     6.87     0.38     2.93
57975.761524   76.68     6.58     0.51     2.85
57977.656546   77.80     2.91     0.42     3.07
57978.672991   76.72     4.68     2.47     2.70
57978.848030   79.78     5.35     0.34     3.11
57980.078596   74.69     6.51     0.64     2.86
57981.288774   76.25     5.06     0.56     3.19
57981.628809   77.53     6.01     2.79     3.04
57982.872396   77.34     8.69     0.76     2.82
57983.588765   77.45     2.89     0.42     2.90
57987.336174   77.59     8.46     2.30     2.44
57987.574630   78.77     4.72     5.29     2.82
57989.680364   79.28     4.73     1.20     2.96
57991.437069   76.34     6.50     0.80     2.92
57991.456127   75.80     5.39     1.75     3.10
57993.295100   76.74     5.56     1.29     3.01
57997.128390   77.38     3.84     0.46     3.12
57997.617983   75.42     4.26     0.58     3.03
57999.360216   80.12     5.40     1.01     3.22
58000.085426   75.40     7.91     0.77     3.09
58005.768552   77.06     6.65     0.97     2.95
58007.041032   75.40     4.68     2.72     2.95
58007.246827   77.10     7.81     0.62     3.01
58008.458590   79.08     5.93     1.93     2.83
58009.710421   75.87     6.58     0.79     2.75
58009.822492   77.79     5.57     0.33     2.97
58011.702562   76.84     7.85     2.25     2.98
58013.027408   77.26     4.19     1.59     2.99
58016.219773   78.84     3.93     0.53     3.19
58018.435320   75.43     6.60     0.67     2.92
58018.871186   77.39     5.64     0.15     4.73
58019.640030   74.71     4.70     0.30     3.02
58021.081407   76.98     3.71     1.11     2.97
58021.518787   76.20     8.00     0.42     3.07
58023.357340   75.61     3.55     1.33     1.58
58024.555286   79.21     5.41     0.62     3.13
58025.816070   75.02     4.60     0.40     2.96
58027.737690   76.94     4.00     1.05     2.86
58028.087586   77.38     4.89     0.35     2.69
58028.212861   78.21     5.88     1.78     2.95
58029.253077   77.79     7.85     0.86     2.96
58029.256078   76.68     5.99     0.38     3.03
58031.217509   77.80     5.55     1.28     2.81
58034.205115   76.08     3.88     0.43     2.87
58036.853977   79.05     6.60     0.34     3.29
58040.350791   79.12     4.34     0.50     2.86
58043.297454   75.48     5.93     0.42     3.96
58044.533915   76.07     3.60     0.57     2.99
58044.626019   76.00     4.67     1.04     3.07
58048.683351   76.44     5.28     0.81     2.79
58052.065081   75.73     5.18     0.83     3.06
58053.630423   75.04     4.01     0.38     2.86
58055.131478   78.64     7.87     0.33     3.08
58055.419500   79.38     5.89     0.90     2.79
58057.125837   77.64     5.23     0.93     2.85
